user,state,party
@willboydforAL,AL,D
@KatieBrittforAL,AL,R
@LisaMurkowski,AK,R
@KellyForAlaska,AK,R
@SenMarkKelly,AZ,D
@bgmasters,AZ,R
@JamesForAR,AR,D
@JohnBoozman,AR,R
@AlexPadilla4CA,CA,D
@MarkMeuser,CA,R
@SenatorBennet,CO,D
@ODeaForColorado,CO,R
@SenBlumenthal,CT,D
@LeoraLevyCT,CT,R
@RepValDemings,FL,D
@marcorubio,FL,R
@SenatorWarnock,GA,D
@HerschelWalker,GA,R
@brianschatz,HI,D
@repbobmcdermott,HI,R
@rothforIdaho,ID,D
@MikeCrapo,ID,R
@TammyDuckworth,IL,D
@salviforsenate,IL,R
@tommcdermottjr,IN,D
@ToddYoungIN,IN,R
@FrankenforIowa,IA,D
@ChuckGrassley,IA,R
@MarkRHolland,KS,D
@JerryMoran,KS,R
@Booker4KY,KY,D
@RandPaul,KY,R
@ChrisVanHollen,MD,D
@ChaffeeUSSenate,MD,R
@buschvalentine,MO,D
@AGEricSchmitt,MO,R
@SenCortezMasto,NV,D
@AdamLaxalt,NV,R
@SenatorHassan,NH,D
@GenDonBolduc,NH,R
@SenSchumer,NY,D
@JosephPinion,NY,R
@CheriBeasleyNC,NC,D
@RepTedBudd,NC,R
@katrina_senate,ND,D
@SenJohnHoeven,ND,R
@TimRyan,OH,D
@JDVance1,OH,R
@VoteKendraOK,OK,D
@madisonhornok,OK,D
@SenatorLankford,OK,R
@RepMullin,OK,R
@RonWyden,OR,D
@PerkinsForUSSen,OR,R
@JohnFetterman,PA,D
@DrOz,PA,R
@kmforsenate,SC,D
@SenatorTimScott,SC,R
@BrianBengs,SD,D
@SenJohnThune,SD,R
@SenMikeLee,UT,R
@EvanMcMullin,UT,I
@PeterWelch,VT,D
@GeraldMalloyVT,VT,R
@PattyMurray,WA,D
@SmileyForWA,WA,R
@TheOtherMandela,WI,D
@SenRonJohnson,WI,R